name,No,receive_mae,receive_yoko,result,under_over,v_start,v_stop,v_frame,t_movie,mae_x,mae_y,mae_w,mae_h,mae_co,yoko_x,yoko_y,yoko_w,yoko_h,yoko_co,x_diff,y_diff,z_diff,raw_x,raw_y,raw_z,cor_x,cor_y,cor_z,x,y,z
hagino_fukai,39,36683,37036,1,1,810,910,100,1.668335002,0.334,0.551,0.026,0.046,1.0,0.486,0.48,0.012,0.02,0.99,-0.178,0.042,0.017,-2.1757385451694233,-0.1310176085785477,-0.15065695854316025,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,40,39888,40241,1,0,1617,1711,94,1.568234902,0.378,0.35,0.025,0.046,1.0,0.497,0.385,0.011,0.022,1.0,-0.134,-0.159,0.028,-1.6092422505142088,0.9539226065006959,0.0018364725260247377,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,41,42471,42824,1,0,2257,2356,99,1.651651652,0.509,0.306,0.021,0.04,1.0,0.483,0.368,0.01,0.02,0.995,-0.003,-0.204,0.014,-0.011448299375618275,1.2495238116712601,-0.22544228049679754,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,42,44708,45061,1,1,2821,2915,94,1.568234902,0.202,0.568,0.026,0.045,1.0,0.505,0.489,0.013,0.025,1.0,-0.31,0.059,0.036,-3.723129295233858,-0.22053025054147632,0.09869118701122007,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,43,47620,47973,1,0,3544,3642,98,1.634968302,0.486,0.307,0.023,0.045,1.0,0.49599999999999994,0.371,0.01,0.02,0.995,-0.026,-0.202,0.027,-0.2922038960750987,1.2088533353250688,-0.013918365652581092,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,44,50216,50569,1,0,4193,4290,97,1.618284952,0.502,0.324,0.022,0.047,1.0,0.495,0.377,0.01,0.021,0.763,-0.01,-0.186,0.026,-0.09688915441528936,1.1309541232753595,-0.030262728259568942,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,45,52522,52875,1,1,4773,4866,93,1.551551552,0.628,0.548,0.026,0.051,1.0,0.515,0.473,0.01,0.019,0.997,0.116,0.038,0.047,1.3983838630135903,-0.06875102360062624,0.3228371446980173,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,46,54840,55193,1,0,5344,5446,102,1.701701702,0.267,0.359,0.028,0.05,1.0,0.522,0.388,0.011,0.019,0.995,-0.245,-0.15,0.053,-2.875223861850212,0.8559003350855571,0.3287079034357989,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,47,57183,57536,1,0,5917,6030,113,1.885218552,0.384,0.338,0.027,0.044,1.0,0.502,0.38,0.012,0.023,0.997,-0.128,-0.172,0.034,-1.525870723507978,1.0147800366874253,0.0747220425800095,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,48,59627,59980,1,0,6522,6641,119,1.985318652,0.49599999999999994,0.252,0.031,0.055,1.0,0.551,0.361,0.01,0.02,0.993,-0.016,-0.258,0.082,-0.15638196528351878,1.3793296784621085,0.8708929855482818,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,49,62589,62942,0,1,7284,7380,96,1.601601602,0.45,0.47800000000000004,0.023,0.044,1.0,0.473,0.445,0.011,0.02,1.0,-0.062,-0.031,0.004,-0.7555367654745174,0.2821764356244946,-0.36829198013952175,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,50,65206,65559,1,0,7903,8034,131,2.185518852,0.477,0.17,0.037,0.07,0.999,0.6330000000000001,0.359,0.011,0.023,0.999,-0.035,-0.339,0.165,-0.32258226726785877,1.5065369984037449,2.1652322064471563,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,51,1043,1063,0,1,70525,70597,72,1.201201201,0.41,0.537,0.028,0.051,1.0,0.515,0.471,0.012,0.022,1.0,-0.102,0.027,0.047,-1.1890601484276833,-0.036937818669748906,0.2709485176266465,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,52,3543,3563,1,0,71127,71222,95,1.584918252,0.469,0.307,0.023,0.045,1.0,0.481,0.364,0.009,0.02,0.919,-0.043,-0.202,0.012,-0.5105558561895069,1.2463517308464476,-0.24917796814840928,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,53,5364,5384,1,0,71588,71677,89,1.484818151,0.686,0.325,0.025,0.043,1.0,0.494,0.386,0.009,0.019,0.974,0.174,-0.184,0.026,2.1587725562786226,1.1602999244646828,-0.053588405966467974,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,54,7624,7644,0,0,72143,72241,98,1.634968302,0.301,0.307,0.024,0.045,1.0,0.479,0.356,0.011,0.024,0.999,-0.211,-0.202,0.01,-2.6043872557854457,1.1941863503647965,-0.23917180240492267,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,55,9829,9849,0,1,255,345,90,1.501501502,0.313,0.556,0.027,0.05,1.0,0.52,0.4789999999999999,0.011,0.022,0.999,-0.199,0.047,0.051,-2.333449401259092,-0.13735837429158126,0.31640560493994846,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,56,12445,12465,1,0,902,999,97,1.618284952,0.674,0.352,0.027,0.049,1.0,0.509,0.398,0.009,0.016,0.993,0.162,-0.157,0.041,1.9612180889933777,0.9848189802201291,0.2235286065357709,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,57,14806,14826,0,0,1510,1589,79,1.317984651,0.502,0.374,0.022,0.042,1.0,0.486,0.399,0.011,0.017,0.875,-0.01,-0.135,0.018,-0.09816621424914922,0.8636503779324451,-0.1756485103131969,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,58,18020,18040,1,1,2294,2391,97,1.618284952,0.441,0.418,0.027,0.043,1.0,0.508,0.419,0.011,0.019,1.0,-0.071,-0.091,0.039,-0.8278128557835958,0.5931248208848013,0.1707636333144893,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,59,23263,23283,0,1,3612,3701,89,1.484818151,0.614,0.423,0.025,0.044,1.0,0.484,0.423,0.009,0.015,0.989,0.102,-0.086,0.015,1.2961550874490695,0.6126446552565336,-0.22781475751952257,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,60,25556,25576,1,0,4170,4274,104,1.735068402,0.389,0.298,0.021,0.036,1.0,0.424,0.343,0.01,0.022,0.998,-0.123,-0.211,-0.045,-1.6167689501105227,1.3726027433817618,-1.0547820941936237,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,61,27312,27332,1,0,4616,4712,96,1.601601602,0.388,0.284,0.022,0.044,1.0,0.471,0.348,0.011,0.022,0.998,-0.124,-0.225,0.002,-1.5384490010447507,1.3618247188885828,-0.3767359362171294,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,62,28992,29012,1,1,5036,5131,95,1.584918252,0.486,0.468,0.031,0.054,1.0,0.5690000000000001,0.443,0.01,0.021,0.993,-0.026,-0.041,0.101,-0.261267845336355,0.31669584073669454,1.1521411632205043,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,63,31208,31228,0,0,5600,5685,85,1.418084751,0.521,0.303,0.025,0.047,1.0,0.504,0.371,0.01,0.02,0.994,0.009,-0.206,0.035,0.1337526976774017,1.2301444908665582,0.11695691447135555,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,64,33137,33157,0,0,6078,6167,89,1.484818151,0.486,0.291,0.021,0.045,1.0,0.471,0.357,0.011,0.019,0.999,-0.026,-0.218,0.003,-0.30276798293361434,1.3531815957336086,-0.4121060415535588,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,65,35174,35194,0,1,6573,6675,102,1.701701702,0.23600000000000002,0.439,0.031,0.053,1.0,0.572,0.427,0.013,0.021,0.999,-0.276,-0.07,0.103,-3.0477731395938594,0.42812404723100655,0.9684646856784797,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,66,37644,37664,0,1,7205,7292,87,1.451451451,0.399,0.509,0.025,0.041,1.0,0.5,0.459,0.011,0.02,0.999,-0.113,-0.001,0.031,-1.3476136144829938,0.10595705051641136,0.046189127324294796,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,67,40498,40518,0,0,7922,8005,83,1.384718051,0.334,0.312,0.026,0.044,1.0,0.475,0.359,0.012,0.024,1.0,-0.178,-0.197,0.006,-2.205338102165289,1.1852489318872386,-0.3023546461713586,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,68,42374,42394,0,1,8392,8473,81,1.351351351,0.707,0.522,0.032,0.042,1.0,0.512,0.464,0.01,0.019,0.999,0.195,0.013,0.043,2.3421784673114066,0.07060936263938647,0.285201810355524,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,69,44028,44048,0,0,8808,8887,79,1.317984651,0.518,0.295,0.025,0.045,1.0,0.504,0.366,0.01,0.019,0.97,0.006,-0.214,0.035,0.09754230643121911,1.279232642528856,0.1166714131745315,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,70,45898,45918,0,0,9281,9354,73,1.217884551,0.551,0.335,0.024,0.049,1.0,0.509,0.386,0.01,0.017,0.987,0.039,-0.175,0.04,0.4919244744734825,1.058461430339504,0.20381641307600804,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,71,48653,48673,0,0,9946,10042,96,1.601601602,0.464,0.27,0.02,0.046,1.0,0.439,0.337,0.01,0.021,0.999,-0.048,-0.239,-0.03,-0.6062096012486048,1.539709893978096,-0.902371130980472,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,72,51285,51305,1,1,10617,10699,82,1.368034701,0.437,0.442,0.026,0.042,1.0,0.475,0.428,0.012,0.02,0.999,-0.075,-0.067,0.007,-0.9166456012784349,0.48071890927602995,-0.33353933674684755,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,73,53876,53896,0,1,11248,11346,98,1.634968302,0.241,0.403,0.021,0.039,1.0,0.41,0.398,0.015,0.026,1.0,-0.271,-0.106,-0.059,-3.5992320682304046,0.6952361095257981,-1.0668877913127688,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,74,56146,56166,1,1,11822,11913,91,1.518184852,0.565,0.53,0.028,0.051,1.0,0.553,0.463,0.01,0.018,1.0,0.053,0.021,0.085,0.613927748705657,0.04064192235407483,0.9509043950390802,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,75,58411,58431,0,1,12397,12479,82,1.368034701,0.454,0.381,0.023,0.044,1.0,0.485,0.4,0.01,0.017,0.995,-0.058,-0.128,0.016,-0.6936683474865821,0.8183508371726006,-0.18398054587710996,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,76,1086,1070,1,0,1510,1591,81,1.351351351,0.481,0.278,0.025,0.046,1.0,0.469,0.352,0.011,0.022,1.0,-0.031,-0.232,0.0,-0.3670152298180793,1.4214998220675223,-0.4419807045549937,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,77,3100,3084,1,0,1995,2094,99,1.651651652,0.365,0.33,0.022,0.04,1.0,0.448,0.365,0.011,0.02,0.998,-0.147,-0.18,-0.02,-1.8795427413287473,1.1319658820812633,-0.6931930028075814,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,78,5384,5368,0,1,2569,2664,95,1.584918252,0.226,0.407,0.023,0.041,1.0,0.436,0.403,0.012,0.025,1.0,-0.286,-0.102,-0.032,-3.6973590664234686,0.6502788311928775,-0.7409739884934864,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,79,7680,7664,0,0,3152,3238,86,1.434768101,0.265,0.331,0.026,0.041,1.0,0.483,0.367,0.013,0.024,1.0,-0.247,-0.178,0.014,-3.0368191163421336,1.0483791759247079,-0.1790083971414768,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,80,10020,10004,0,1,3738,3822,84,1.401401401,0.2700000000000001,0.396,0.026,0.041,1.0,0.462,0.399,0.014,0.019,1.0,-0.242,-0.113,-0.007,-3.0468265409526136,0.71297115059061,-0.4495891995629267,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,81,11886,11870,0,1,4210,4288,78,1.301301301,0.846,0.599,0.025,0.048,1.0,0.5,0.49000000000000005,0.01,0.015,0.834,0.334,0.09,0.031,4.076208132784452,-0.3334796859121138,0.06495143587616155,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,82,13733,13717,0,0,4667,4749,82,1.368034701,0.375,0.303,0.026,0.041,1.0,0.47200000000000003,0.357,0.012,0.021,1.0,-0.137,-0.206,0.003,-1.6996475629151369,1.2492537761893012,-0.35773926986580035,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,83,15897,15881,0,1,5196,5290,94,1.568234902,0.158,0.488,0.027,0.05,0.999,0.511,0.448,0.013,0.025,1.0,-0.354,-0.021,0.043,-4.229793815002912,0.18647602877728395,0.16363611009350174,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,84,18856,18840,0,1,5941,6029,88,1.468134801,0.537,0.471,0.024,0.05,1.0,0.509,0.443,0.009,0.016,0.993,0.025,-0.038,0.04,0.3243470058942048,0.32552292359504675,0.2015681766122489,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,85,20839,20823,0,1,6435,6525,90,1.501501502,0.741,0.365,0.025,0.04,1.0,0.486,0.404,0.009,0.019,0.924,0.229,-0.144,0.017,2.8735271535810347,0.9527717082118837,-0.2113956309026906,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,86,23062,23046,1,1,6988,7079,91,1.518184852,0.328,0.572,0.033,0.055,1.0,0.587,0.48,0.011,0.022,1.0,-0.184,0.063,0.119,-1.9632971359318718,-0.17325224051499186,1.269962596296204,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,87,25297,25281,0,0,7566,7638,72,1.201201201,0.466,0.319,0.024,0.051,1.0,0.524,0.38,0.011,0.021,0.999,-0.046,-0.19,0.056,-0.5151113812355466,1.0939252324730806,0.42570085619687514,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,88,27506,27490,0,1,8110,8189,79,1.317984651,0.353,0.443,0.025,0.039,1.0,0.489,0.429,0.011,0.02,1.0,-0.159,-0.066,0.02,-1.9338821029491682,0.449585322663031,-0.11119614665820615,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,89,33219,33203,0,1,8760,8851,91,1.518184852,0.284,0.509,0.03,0.053,1.0,0.562,0.456,0.012,0.022,1.0,-0.228,-0.001,0.093,-2.5367763502267935,0.1076900516169429,0.876371820338693,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,90,34936,34920,1,0,9518,9616,98,1.634968302,0.722,0.262,0.024,0.046,1.0,0.489,0.361,0.009,0.018,0.962,0.21,-0.247,0.02,2.623025557890496,1.5360933147353222,-0.15088797597146109,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,91,36990,36974,0,1,9966,10045,79,1.317984651,0.529,0.49599999999999994,0.024,0.047,1.0,0.498,0.453,0.011,0.019,0.996,0.017,-0.014,0.029,0.2324018029626999,0.19340524154869584,0.01861481571651572,-0.16835,-0.7409,-0.30978,,,
