name,No,receive_mae,receive_yoko,result,under_over,v_start,v_stop,v_frame,t_movie,mae_x,mae_y,mae_w,mae_h,mae_co,yoko_x,yoko_y,yoko_w,yoko_h,yoko_co,x_diff,y_diff,z_diff,raw_x,raw_y,raw_z,cor_x,cor_y,cor_z,x,y,z
hagino_fukai,12,29037,29068,1,0,43220,43327,107,1.785118452,0.42,0.325,0.024,0.04,1,0.46,0.368,0.01,0.018,0.655,-0.092,-0.184,-0.009,,,,-0.06217,-0.74722,-0.31204,,,
hagino_fukai,13,31320,31351,0,1,43795,43897,102,1.701701702,0.035,0.497,0.026,0.042,1,0.46,0.451,0.015,0.025,0.999,-0.477,-0.012,-0.009,,,,-0.06217,-0.74722,-0.31204,,,
hagino_fukai,14,34091,34122,0,0,44480,44590,110,1.835168502,0.544,0.307,0.026,0.048,1,0.522,0.378,0.012,0.018,0.957,0.032,-0.202,0.053,,,,-0.06217,-0.74722,-0.31204,,,
hagino_fukai,15,36432,36463,0,0,45074,45174,100,1.668335002,0.795,0.303,0.028,0.05,1,0.499,0.383,0.01,0.016,0.981,0.283,-0.206,0.031,,,,-0.06217,-0.74722,-0.31204,,,
hagino_fukai,16,39124,39155,0,1,45748,45846,98,1.634968302,0.184,0.416,0.025,0.039,1,0.455,0.407,0.011,0.021,0.998,-0.328,-0.093,-0.014,,,,-0.06217,-0.74722,-0.31204,,,
hagino_fukai,17,42072,42103,0,1,46490,46583,93,1.551551552,0.636,0.459,0.023,0.046,1,0.489,0.439,0.011,0.019,0.999,0.124,-0.05,0.021,,,,-0.06217,-0.74722,-0.31204,,,
hagino_fukai,18,44739,44770,1,0,47142,47249,107,1.785118452,0.393,0.332,0.021,0.042,1,0.446,0.366,0.012,0.02,1,-0.119,-0.177,-0.022,,,,-0.06217,-0.74722,-0.31204,,,
hagino_fukai,19,47454,47485,1,1,47828,47927,99,1.651651652,0.381,0.444,0.023,0.041,1,0.451,0.427,0.012,0.022,1,-0.131,-0.065,-0.018,,,,-0.06217,-0.74722,-0.31204,,,
hagino_fukai,20,50470,50501,1,0,48567,48680,113,1.885218552,0.545,0.305,0.023,0.043,1,0.466,0.365,0.01,0.018,0.999,0.033,-0.204,-0.003,,,,-0.06217,-0.74722,-0.31204,,,
hagino_fukai,21,53311,53342,1,1,49294,49389,95,1.584918252,0.296,0.497,0.026,0.044,1,0.493,0.453,0.012,0.022,0.986,-0.216,-0.012,0.024,,,,-0.06217,-0.74722,-0.31204,,,
hagino_fukai,22,56332,56363,0,1,50034,50144,110,1.835168502,0.15,0.489,0.028,0.044,1,0.499,0.448,0.013,0.024,0.999,-0.362,-0.02,0.03,,,,-0.06217,-0.74722,-0.31204,,,
hagino_fukai,23,59093,59124,0,0,50725,50834,109,1.818485152,0.647,0.267,0.026,0.047,1,0.507,0.364,0.009,0.019,0.753,0.135,-0.243,0.038,,,,-0.06217,-0.74722,-0.31204,,,
hagino_fukai,24,61479,61510,1,1,51327,51429,102,1.701701702,0.686,0.536,0.03,0.053,1,0.536,0.467,0.011,0.018,0.994,0.174,0.027,0.068,,,,-0.06217,-0.74722,-0.31204,,,
hagino_fukai,25,63852,63883,1,0,51920,52023,103,1.718385052,0.632,0.271,0.033,0.059,1,0.567,0.377,0.009,0.019,0.898,0.12,-0.238,0.099,,,,-0.06217,-0.74722,-0.31204,,,
hagino_fukai,26,995,1348,1,1,64373,64463,90,1.501501502,0.313,0.415,0.024,0.043,1,0.471,0.413,0.011,0.023,1,-0.199,-0.094,0.002,,,,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,27,3624,3977,1,0,65008,65119,111,1.851851852,0.716,0.278,0.025,0.044,1,0.478,0.368,0.009,0.018,0.956,0.204,-0.231,0.009,,,,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,28,6060,6413,1,0,65624,65728,104,1.735068402,0.627,0.359,0.025,0.047,1,0.506,0.399,0.009,0.014,0.892,0.115,-0.151,0.037,,,,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,29,8562,8915,1,1,66277,66352,75,1.251251251,0.54,0.503,0.025,0.049,1,0.509,0.457,0.011,0.022,1,0.028,-0.007,0.04,,,,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,30,13566,13919,1,1,67505,67602,97,1.618284952,0.551,0.469,0.023,0.046,1,0.474,0.445,0.011,0.019,0.999,0.039,-0.04,0.006,,,,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,31,16088,16441,1,0,68131,68232,101,1.685018352,0.711,0.299,0.025,0.038,0.999,0.477,0.378,0.009,0.017,0.993,0.199,-0.21,0.008,,,,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,32,18367,18720,1,0,68696,68801,105,1.751751752,0.18,0.331,0.027,0.041,1,0.48,0.363,0.011,0.021,0.998,-0.332,-0.178,0.011,,,,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,33,20633,20986,0,0,69263,69367,104,1.735068402,0.428,0.326,0.022,0.04,1,0.445,0.367,0.013,0.022,1,-0.084,-0.183,-0.024,,,,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,34,23119,23472,1,1,69878,69988,110,1.835168502,0.006,0.559,0.01,0.072,0.735,0.601,0.476,0.015,0.024,1,-0.506,0.05,0.132,,,,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,35,25981,26334,1,1,70597,70703,106,1.768435102,0.843,0.474,0.032,0.052,1,0.53,0.448,0.009,0.02,0.977,0.331,-0.035,0.061,,,,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,36,28603,28956,0,1,71271,71357,86,1.434768101,0.564,0.604,0.026,0.049,1,0.533,0.495,0.011,0.021,0.977,0.052,0.095,0.064,,,,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,37,31178,31531,0,1,71901,72001,100,1.668335002,0.901,0.511,0.028,0.047,1,0.511,0.46,0.01,0.019,0.915,0.389,0.002,0.042,,,,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,38,33552,33905,0,0,36,129,93,1.551551552,0.261,0.417,0.03,0.044,1,0.531,0.418,0.011,0.021,0.999,-0.251,-0.092,0.063,,,,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,39,36683,37036,1,1,810,910,100,1.668335002,0.334,0.551,0.026,0.046,1,0.486,0.48,0.012,0.02,0.99,-0.178,0.042,0.017,,,,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,40,39888,40241,1,0,1617,1711,94,1.568234902,0.378,0.35,0.025,0.046,1,0.497,0.385,0.011,0.022,1,-0.134,-0.159,0.028,,,,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,41,42471,42824,1,0,2257,2356,99,1.651651652,0.509,0.306,0.021,0.04,1,0.483,0.368,0.01,0.02,0.995,-0.003,-0.204,0.014,,,,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,42,44708,45061,1,1,2821,2915,94,1.568234902,0.202,0.568,0.026,0.045,1,0.505,0.489,0.013,0.025,1,-0.31,0.059,0.036,,,,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,43,47620,47973,1,0,3544,3642,98,1.634968302,0.486,0.307,0.023,0.045,1,0.496,0.371,0.01,0.02,0.995,-0.026,-0.202,0.027,,,,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,44,50216,50569,1,0,4193,4290,97,1.618284952,0.502,0.324,0.022,0.047,1,0.495,0.377,0.01,0.021,0.763,-0.01,-0.186,0.026,,,,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,45,52522,52875,1,1,4773,4866,93,1.551551552,0.628,0.548,0.026,0.051,1,0.515,0.473,0.01,0.019,0.997,0.116,0.038,0.047,,,,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,46,54840,55193,1,0,5344,5446,102,1.701701702,0.267,0.359,0.028,0.05,1,0.522,0.388,0.011,0.019,0.995,-0.245,-0.15,0.053,,,,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,47,57183,57536,1,0,5917,6030,113,1.885218552,0.384,0.338,0.027,0.044,1,0.502,0.38,0.012,0.023,0.997,-0.128,-0.172,0.034,,,,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,48,59627,59980,1,0,6522,6641,119,1.985318652,0.496,0.252,0.031,0.055,1,0.551,0.361,0.01,0.02,0.993,-0.016,-0.258,0.082,,,,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,49,62589,62942,0,1,7284,7380,96,1.601601602,0.45,0.478,0.023,0.044,1,0.473,0.445,0.011,0.02,1,-0.062,-0.031,0.004,,,,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,50,65206,65559,1,0,7903,8034,131,2.185518852,0.477,0.17,0.037,0.07,0.999,0.633,0.359,0.011,0.023,0.999,-0.035,-0.339,0.165,,,,-0.08429,-0.74456,-0.31157,,,
hagino_fukai,51,1043,1063,0,1,70525,70597,72,1.201201201,0.41,0.537,0.028,0.051,1,0.515,0.471,0.012,0.022,1,-0.102,0.027,0.047,,,,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,52,3543,3563,1,0,71127,71222,95,1.584918252,0.469,0.307,0.023,0.045,1,0.481,0.364,0.009,0.02,0.919,-0.043,-0.202,0.012,,,,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,53,5364,5384,1,0,71588,71677,89,1.484818151,0.686,0.325,0.025,0.043,1,0.494,0.386,0.009,0.019,0.974,0.174,-0.184,0.026,,,,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,54,7624,7644,0,0,72143,72241,98,1.634968302,0.301,0.307,0.024,0.045,1,0.479,0.356,0.011,0.024,0.999,-0.211,-0.202,0.01,,,,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,55,9829,9849,0,1,255,345,90,1.501501502,0.313,0.556,0.027,0.05,1,0.52,0.479,0.011,0.022,0.999,-0.199,0.047,0.051,,,,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,56,12445,12465,1,0,902,999,97,1.618284952,0.674,0.352,0.027,0.049,1,0.509,0.398,0.009,0.016,0.993,0.162,-0.157,0.041,,,,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,57,14806,14826,0,0,1510,1589,79,1.317984651,0.502,0.374,0.022,0.042,1,0.486,0.399,0.011,0.017,0.875,-0.01,-0.135,0.018,,,,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,58,18020,18040,1,1,2294,2391,97,1.618284952,0.441,0.418,0.027,0.043,1,0.508,0.419,0.011,0.019,1,-0.071,-0.091,0.039,,,,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,59,23263,23283,0,1,3612,3701,89,1.484818151,0.614,0.423,0.025,0.044,1,0.484,0.423,0.009,0.015,0.989,0.102,-0.086,0.015,,,,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,60,25556,25576,1,0,4170,4274,104,1.735068402,0.389,0.298,0.021,0.036,1,0.424,0.343,0.01,0.022,0.998,-0.123,-0.211,-0.045,,,,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,61,27312,27332,1,0,4616,4712,96,1.601601602,0.388,0.284,0.022,0.044,1,0.471,0.348,0.011,0.022,0.998,-0.124,-0.225,0.002,,,,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,62,28992,29012,1,1,5036,5131,95,1.584918252,0.486,0.468,0.031,0.054,1,0.569,0.443,0.01,0.021,0.993,-0.026,-0.041,0.101,,,,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,63,31208,31228,0,0,5600,5685,85,1.418084751,0.521,0.303,0.025,0.047,1,0.504,0.371,0.01,0.02,0.994,0.009,-0.206,0.035,,,,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,64,33137,33157,0,0,6078,6167,89,1.484818151,0.486,0.291,0.021,0.045,1,0.471,0.357,0.011,0.019,0.999,-0.026,-0.218,0.003,,,,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,65,35174,35194,0,1,6573,6675,102,1.701701702,0.236,0.439,0.031,0.053,1,0.572,0.427,0.013,0.021,0.999,-0.276,-0.07,0.103,,,,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,66,37644,37664,0,1,7205,7292,87,1.451451451,0.399,0.509,0.025,0.041,1,0.5,0.459,0.011,0.02,0.999,-0.113,-0.001,0.031,,,,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,67,40498,40518,0,0,7922,8005,83,1.384718051,0.334,0.312,0.026,0.044,1,0.475,0.359,0.012,0.024,1,-0.178,-0.197,0.006,,,,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,68,42374,42394,0,1,8392,8473,81,1.351351351,0.707,0.522,0.032,0.042,1,0.512,0.464,0.01,0.019,0.999,0.195,0.013,0.043,,,,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,69,44028,44048,0,0,8808,8887,79,1.317984651,0.518,0.295,0.025,0.045,1,0.504,0.366,0.01,0.019,0.97,0.006,-0.214,0.035,,,,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,70,45898,45918,0,0,9281,9354,73,1.217884551,0.551,0.335,0.024,0.049,1,0.509,0.386,0.01,0.017,0.987,0.039,-0.175,0.04,,,,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,71,48653,48673,0,0,9946,10042,96,1.601601602,0.464,0.27,0.02,0.046,1,0.439,0.337,0.01,0.021,0.999,-0.048,-0.239,-0.03,,,,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,72,51285,51305,1,1,10617,10699,82,1.368034701,0.437,0.442,0.026,0.042,1,0.475,0.428,0.012,0.02,0.999,-0.075,-0.067,0.007,,,,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,73,53876,53896,0,1,11248,11346,98,1.634968302,0.241,0.403,0.021,0.039,1,0.41,0.398,0.015,0.026,1,-0.271,-0.106,-0.059,,,,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,74,56146,56166,1,1,11822,11913,91,1.518184852,0.565,0.53,0.028,0.051,1,0.553,0.463,0.01,0.018,1,0.053,0.021,0.085,,,,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,75,58411,58431,0,1,12397,12479,82,1.368034701,0.454,0.381,0.023,0.044,1,0.485,0.4,0.01,0.017,0.995,-0.058,-0.128,0.016,,,,-0.15508,-0.75004,-0.31006,,,
hagino_fukai,76,1086,1070,1,0,1510,1591,81,1.351351351,0.481,0.278,0.025,0.046,1,0.469,0.352,0.011,0.022,1,-0.031,-0.232,0,,,,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,77,3100,3084,1,0,1995,2094,99,1.651651652,0.365,0.33,0.022,0.04,1,0.448,0.365,0.011,0.02,0.998,-0.147,-0.18,-0.02,,,,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,78,5384,5368,0,1,2569,2664,95,1.584918252,0.226,0.407,0.023,0.041,1,0.436,0.403,0.012,0.025,1,-0.286,-0.102,-0.032,,,,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,79,7680,7664,0,0,3152,3238,86,1.434768101,0.265,0.331,0.026,0.041,1,0.483,0.367,0.013,0.024,1,-0.247,-0.178,0.014,,,,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,80,10020,10004,0,1,3738,3822,84,1.401401401,0.27,0.396,0.026,0.041,1,0.462,0.399,0.014,0.019,1,-0.242,-0.113,-0.007,,,,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,81,11886,11870,0,1,4210,4288,78,1.301301301,0.846,0.599,0.025,0.048,1,0.5,0.49,0.01,0.015,0.834,0.334,0.09,0.031,,,,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,82,13733,13717,0,0,4667,4749,82,1.368034701,0.375,0.303,0.026,0.041,1,0.472,0.357,0.012,0.021,1,-0.137,-0.206,0.003,,,,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,83,15897,15881,0,1,5196,5290,94,1.568234902,0.158,0.488,0.027,0.05,0.999,0.511,0.448,0.013,0.025,1,-0.354,-0.021,0.043,,,,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,84,18856,18840,0,1,5941,6029,88,1.468134801,0.537,0.471,0.024,0.05,1,0.509,0.443,0.009,0.016,0.993,0.025,-0.038,0.04,,,,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,85,20839,20823,0,1,6435,6525,90,1.501501502,0.741,0.365,0.025,0.04,1,0.486,0.404,0.009,0.019,0.924,0.229,-0.144,0.017,,,,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,86,23062,23046,1,1,6988,7079,91,1.518184852,0.328,0.572,0.033,0.055,1,0.587,0.48,0.011,0.022,1,-0.184,0.063,0.119,,,,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,87,25297,25281,0,0,7566,7638,72,1.201201201,0.466,0.319,0.024,0.051,1,0.524,0.38,0.011,0.021,0.999,-0.046,-0.19,0.056,,,,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,88,27506,27490,0,1,8110,8189,79,1.317984651,0.353,0.443,0.025,0.039,1,0.489,0.429,0.011,0.02,1,-0.159,-0.066,0.02,,,,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,89,33219,33203,0,1,8760,8851,91,1.518184852,0.284,0.509,0.03,0.053,1,0.562,0.456,0.012,0.022,1,-0.228,-0.001,0.093,,,,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,90,34936,34920,1,0,9518,9616,98,1.634968302,0.722,0.262,0.024,0.046,1,0.489,0.361,0.009,0.018,0.962,0.21,-0.247,0.02,,,,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,91,36990,36974,0,1,9966,10045,79,1.317984651,0.529,0.496,0.024,0.047,1,0.498,0.453,0.011,0.019,0.996,0.017,-0.014,0.029,,,,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,92,39218,39202,0,0,10485,10558,73,1.217884551,0.462,0.237,0.025,0.043,1,0.468,0.328,0.011,0.022,0.998,-0.05,-0.272,-0.001,,,,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,93,41449,41433,1,1,11038,11114,76,1.267934601,0.188,0.417,0.024,0.04,1,0.46,0.402,0.015,0.027,1,-0.324,-0.092,-0.009,,,,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,94,43944,43928,1,1,11582,11671,89,1.484818151,0.34,0.577,0.037,0.067,0.997,0.615,0.475,0.012,0.022,1,-0.172,0.067,0.146,,,,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,95,46135,46119,1,1,12188,12295,107,1.785118452,0.405,0.415,0.023,0.043,1,0.462,0.412,0.01,0.018,0.991,-0.107,-0.094,-0.007,,,,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,96,47933,47917,1,0,12752,12842,90,1.501501502,0.483,0.304,0.02,0.04,1,0.447,0.358,0.011,0.019,0.997,-0.029,-0.205,-0.022,,,,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,97,49797,49781,0,1,13198,13291,93,1.551551552,0.555,0.523,0.03,0.055,1,0.565,0.461,0.01,0.019,0.936,0.043,0.013,0.097,,,,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,98,51593,51577,1,1,13660,13756,96,1.601601602,0.355,0.353,0.025,0.045,1,0.472,0.38,0.013,0.022,1,-0.157,-0.156,0.004,,,,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,99,53626,53610,1,1,14123,14205,82,1.368034701,0.307,0.392,0.024,0.044,1,0.47,0.398,0.013,0.025,1,-0.205,-0.117,0.002,,,,-0.16835,-0.7409,-0.30978,,,
hagino_fukai,100,57561,57545,0,1,14631,14713,82,1.368034701,0.786,0.489,0.028,0.051,1,0.501,0.451,0.009,0.019,0.993,0.274,-0.02,0.032,,,,-0.16835,-0.7409,-0.30978,,,
hagino_tekido,1,935,967,0,0,28937,29035,98,1.634968302,0.543,0.419,0.027,0.044,1,0.545,0.373,0.011,0.018,0.967,0.031,-0.09,0.076,,,,-0.24079,-0.51197,0.408272,,,
hagino_tekido,2,3080,3112,1,0,29469,29571,102,1.701701702,0.431,0.344,0.024,0.046,1,0.534,0.333,0.01,0.02,1,-0.081,-0.165,0.065,,,,-0.24079,-0.51197,0.408272,,,
hagino_tekido,3,5619,5651,1,0,30114,30205,91,1.518184852,0.437,0.324,0.021,0.04,1,0.488,0.318,0.01,0.02,0.998,-0.075,-0.186,0.02,,,,-0.24079,-0.51197,0.408272,,,
hagino_tekido,4,7953,7985,0,0,30705,30788,83,1.384718051,0.652,0.322,0.026,0.039,1,0.524,0.334,0.01,0.019,0.965,0.14,-0.187,0.055,,,,-0.24079,-0.51197,0.408272,,,
hagino_tekido,5,10004,10036,1,1,31225,31300,75,1.251251251,0.732,0.508,0.028,0.049,1,0.547,0.413,0.009,0.017,0.977,0.22,-0.002,0.078,,,,-0.24079,-0.51197,0.408272,,,
hagino_tekido,6,12594,12626,1,1,31856,31947,91,1.518184852,0.47,0.466,0.022,0.042,1,0.499,0.393,0.011,0.02,0.999,-0.042,-0.043,0.03,,,,-0.24079,-0.51197,0.408272,,,
hagino_tekido,7,15223,15255,0,1,32515,32603,88,1.468134801,0.226,0.372,0.025,0.039,0.978,0.468,0.331,0.014,0.026,0.999,-0.286,-0.138,0,,,,-0.24079,-0.51197,0.408272,,,
hagino_tekido,8,17982,18014,0,1,33208,33292,84,1.401401401,0.766,0.486,0.026,0.048,1,0.537,0.406,0.009,0.02,0.999,0.254,-0.023,0.068,,,,-0.24079,-0.51197,0.408272,,,
hagino_tekido,9,20971,21003,1,1,33936,34039,103,1.718385052,0.211,0.419,0.024,0.04,1,0.478,0.354,0.012,0.024,1,-0.301,-0.091,0.009,,,,-0.24079,-0.51197,0.408272,,,
hagino_tekido,10,23218,23250,0,1,34517,34600,83,1.384718051,0.585,0.488,0.023,0.047,1,0.534,0.403,0.011,0.02,0.999,0.073,-0.022,0.065,,,,-0.24079,-0.51197,0.408272,,,
hagino_tekido,11,26306,26338,0,0,35284,35371,87,1.451451451,0.468,0.327,0.022,0.041,1,0.509,0.323,0.01,0.02,0.992,-0.044,-0.182,0.041,,,,-0.24079,-0.51197,0.408272,,,
hagino_tekido,12,28506,28538,1,1,35815,35921,106,1.768435102,0.74,0.521,0.03,0.045,1,0.567,0.417,0.009,0.018,0.993,0.228,0.012,0.098,,,,-0.24079,-0.51197,0.408272,,,
hagino_tekido,13,31083,31115,1,1,36469,36565,96,1.601601602,0.316,0.59,0.028,0.047,1,0.56,0.446,0.012,0.021,1,-0.196,0.081,0.091,,,,-0.24079,-0.51197,0.408272,,,
hagino_tekido,14,33776,33808,1,0,37123,37237,114,1.901901902,0.406,0.31,0.03,0.06,1,0.655,0.345,0.012,0.021,1,-0.106,-0.199,0.186,,,,-0.24079,-0.51197,0.408272,,,
hagino_tekido,15,36170,36202,0,1,37742,37835,93,1.551551552,0.452,0.471,0.026,0.039,1,0.513,0.392,0.009,0.02,0.997,-0.06,-0.038,0.044,,,,-0.24079,-0.51197,0.408272,,,
hagino_tekido,16,38501,38533,1,1,38326,38416,90,1.501501502,0.543,0.518,0.024,0.048,1,0.57,0.417,0.01,0.02,0.998,0.031,0.008,0.101,,,,-0.24079,-0.51197,0.408272,,,
hagino_tekido,17,40816,40848,1,1,38918,38995,77,1.284617951,0.367,0.458,0.025,0.044,1,0.529,0.388,0.012,0.021,0.998,-0.145,-0.051,0.06,,,,-0.24079,-0.51197,0.408272,,,
hagino_tekido,18,43523,43555,1,0,39559,39671,112,1.868535202,0.354,0.33,0.031,0.054,1,0.611,0.339,0.011,0.019,0.998,-0.158,-0.18,0.142,,,,-0.24079,-0.51197,0.408272,,,
hagino_tekido,19,45918,45950,0,1,40182,40270,88,1.468134801,0.849,0.432,0.028,0.044,1,0.533,0.384,0.008,0.015,0.996,0.337,-0.077,0.065,,,,-0.24079,-0.51197,0.408272,,,
hagino_tekido,20,49458,49490,0,1,41073,41153,80,1.334668001,0.721,0.526,0.027,0.046,1,0.558,0.423,0.011,0.021,0.981,0.209,0.017,0.09,,,,-0.24079,-0.51197,0.408272,,,
hagino_tekido,21,57221,57253,1,1,42996,43092,96,1.601601602,0.185,0.605,0.025,0.04,0.989,0.52,0.464,0.015,0.021,1,-0.327,0.096,0.052,,,,-0.24079,-0.51197,0.408272,,,
hagino_tekido,22,59883,59915,1,0,43657,43757,100,1.668335002,0.276,0.343,0.027,0.045,1,0.557,0.328,0.01,0.022,0.982,-0.236,-0.166,0.088,,,,-0.24079,-0.51197,0.408272,,,
hagino_tekido,23,62643,62675,1,0,44320,44446,126,2.102102102,0.506,0.332,0.025,0.048,1,0.545,0.333,0.011,0.019,0.998,-0.006,-0.177,0.077,,,,-0.24079,-0.51197,0.408272,,,
hagino_tekido,24,67445,67477,0,1,45559,45645,86,1.434768101,0.067,0.672,0.029,0.06,1,0.589,0.486,0.014,0.026,1,-0.445,0.163,0.121,,,,-0.24079,-0.51197,0.408272,,,
hagino_tekido,25,70889,70921,0,0,46385,46505,120,2.002002002,0.412,0.356,0.021,0.038,1,0.469,0.327,0.01,0.018,0.997,-0.1,-0.153,0.001,,,,-0.24079,-0.51197,0.408272,,,
hagino_tekido,26,1197,1259,0,0,156,238,82,1.368034701,0.524,0.352,0.024,0.05,1,0.548,0.344,0.01,0.019,0.997,0.012,-0.158,0.079,,,,-0.25001,-0.518,0.374707,,,
